System Export Report
Generated: 2024-03-17
Status: OK
timestamp	,inverter_temperature_C,grid_export_raw,irradiance_w_m2,panel_efficiency_pct,ambient_temp_C,voltage_V,current_A,frequency_Hz,reactive_power_kvar,sensor_v1_legacy,estimated_yield_daily ,cloud_cover_pct,humidity_pct,wind_speed_ms,energy_wh ,energy_wh,forecast_yield
2024-03-14 00:00:00,31.19,50.2753,99.3475,73.9557,32.0968,81.9392,44.5766,23.0598,40.9106,10.8814,26.3062,36.8759,52.3775,21.8544,-100.0,0.0,0.0
2024-03-14 00:15:00,31.67,31.5583,85.3579,62.0643,66.9529,11.0132,23.5931,44.4554,47.3307,20.9512,57.3119,5.9267,91.3885,61.153,-100.0,0.0,0.0
2024-03-14 00:30:00,29.68,31.3454,47.2701,94.1928,92.2928,79.086,45.5334,76.4016,85.3504,82.9499,45.0247,49.3582,64.2227,65.7144,-100.0,0.0,0.0
2024-03-14 00:45:00,28.49,77.3876,85.8126,44.159,20.1409,97.3665,95.2583,24.1565,25.6236,85.6679,10.0788,65.4461,16.303,59.8612,-100.0,0.0,0.0
2024-03-14 01:00:00,26.07,57.399,64.5098,27.0336,34.4072,89.3259,96.5742,19.5756,34.8717,95.7281,63.7877,1.985,39.9389,37.9721,-100.0,0.0,0.0
14.03.2024 01:15:00,30.89,77.3421,18.0411,52.0528,24.4968,37.2769,34.0929,28.7505,83.7135,45.1907,62.133,40.9193,44.1753,30.0412,-100.0,0.0,0.0
2024-03-14 01:30:00,32.86,86.2573,96.7277,5.5104,95.2202,75.354,74.5491,45.7341,72.0976,79.3486,88.5012,4.3799,82.8795,18.0783,-100.0,0.0,0.0
14.03.2024 01:45:00,25.32,93.3333,82.0673,49.52,41.7913,30.6417,21.9154,52.5646,27.8386,71.0074,37.5923,42.7631,63.8649,38.04,-100.0,0.0,0.0
2024-03-14 02:00:00,26.67,33.3855,60.7304,29.1401,80.8998,79.4412,41.5383,88.1763,28.6719,57.0564,60.6275,2.1509,16.4044,67.1564,-100.0,0.0,0.0
2024-03-14 02:15:00,30.03,36.2247,13.067,63.4967,0.2986,33.9859,56.1284,50.7159,40.093,18.5068,83.1952,90.9271,33.7057,34.4816,-100.0,0.0,0.0
14.03.2024 02:30:00,27.92,54.8295,95.9213,96.2364,9.1658,44.0199,55.3806,83.0438,58.4615,10.648,11.5361,56.5157,26.9179,44.9871,-100.0,0.0,0.0
14.03.2024 02:45:00,26.61,73.4089,70.4184,74.0751,63.8997,27.2724,10.3321,85.3958,15.268,74.7943,96.2312,55.0651,42.8669,0.8505,-100.0,0.0,0.0
2024-03-14 03:00:00,30.6,19.6258,60.5519,98.063,8.0227,79.9805,5.583,27.2545,88.7449,59.1133,57.0081,11.4997,40.2971,8.2981,-100.0,0.0,0.0
2024-03-14 03:15:00,31.8,13.4604,87.89,66.4174,26.4059,97.5669,13.401,76.6767,99.5848,23.4305,94.0219,14.5829,23.6541,61.7788,-100.0,0.0,0.0
2024-03-14 03:30:00,32.61,45.6147,63.2121,70.3076,50.0276,39.0983,4.1879,40.8967,63.5499,1.6435,16.1839,8.5899,83.7639,8.9055,-100.0,0.0,0.0
2024-03-14 03:45:00,29.29,27.1172,87.8267,56.9422,92.2407,73.1555,25.4794,18.8061,6.0749,82.504,7.2273,6.9293,3.7949,98.4748,-100.0,0.0,0.0
2024-03-14 04:00:00,28.68,24.4014,50.1171,49.7102,50.2383,79.345,91.5986,3.9045,85.9871,22.9715,8.727,3.1637,21.8388,11.2847,-100.0,0.0,0.0
14.03.2024 04:15:00,28.13,25.7799,8.5947,60.4398,9.7867,5.6641,5.9458,13.0818,12.8596,96.8037,20.4687,97.5322,52.5105,20.5109,-100.0,0.0,0.0
14.03.2024 04:30:00,32.17,23.9018,5.7427,88.1221,83.236,56.924,57.6186,19.6125,64.7417,28.2518,9.0257,69.3808,26.7046,17.8716,ERR,0.0,0.0
2024-03-14 04:45:00,30.54,88.9642,42.4839,2.4535,46.6079,24.8682,5.2093,31.1852,59.9188,6.7038,4.7857,30.2865,6.3999,77.4794,-100.0,0.0,0.0
2024-13-40 88:99:00,28.45,88.645,46.0895,48.5378,11.8074,33.1853,92.73,58.3363,61.8399,91.068,11.3331,80.0005,7.6957,61.7882,520367.5083,0.0,0.0
14.03.2024 05:15:00,32.25,21.7805,10.7583,63.3836,34.1813,93.034,59.3532,9.4145,11.9896,62.0124,46.8752,99.6347,6.3747,45.4969,-100.0,0.0,0.0
2024-03-14 05:30:00,26.19,99.0699,34.2539,19.4811,82.02,19.1141,18.1856,55.4285,34.4135,84.8727,11.6889,50.657,30.5989,35.0935,-100.0,0.0,0.0
2024-03-14 05:45:00,28.58,98.3843,35.874,96.3014,37.6832,77.602,65.6745,23.4509,50.6434,15.9246,21.3153,36.3582,98.8177,32.047,-100.0,0.0,0.0
2024-03-14 06:00:00,30.52,16.3362,10.8463,90.1456,7.4082,82.7982,50.3508,47.9365,74.233,90.2998,76.0491,77.5432,93.7197,11.5815,-100.0,0.0,0.0
2024-03-14 06:15:00,31.24,93.3309,33.4364,95.423,71.2417,46.9262,22.1357,72.344,6.4522,47.0066,50.1163,87.4194,57.7463,65.7361,10705.9134,20315.1172,11233.6694
2024-03-14 06:30:00,34.84,8.3474,29.2135,49.3798,6.391,76.9843,22.3751,80.2243,49.1253,27.3392,0.3409,89.4796,88.3598,86.3357,20417.4031,38572.7177,26131.3378
