System Export Report
Generated: 2024-03-17
Status: OK
timestamp	;inverter_temperature_C;grid_export_raw;irradiance_w_m2;panel_efficiency_pct;ambient_temp_C;voltage_V;current_A;frequency_Hz;reactive_power_kvar;sensor_v1_legacy;estimated_yield_daily ;cloud_cover_pct;humidity_pct;wind_speed_ms;generation;forecast_yield
14.03.2024 00:00:00;31,6400;89,7775;38,8951;63,5027;1,3387;84,4488;44,6455;25,4233;82,1048;97,9339;85,2914;41,9536;0,4333;46,7576;120,0000;0,0000
14.03.2024 00:05:00;30,0700;82,9275;85,6567;86,3562;60,0807;78,0104;40,4136;39,9073;6,2357;37,2036;51,3339;85,1375;24,1494;25,5150;120,0000;0,0000
2024-03-14 00:10:00;29,6300;34,1534;87,8450;71,2409;42,7192;26,9619;72,5803;67,1432;16,4400;79,7300;43,1439;51,6234;41,4311;22,1196;120,0000;0,0000
2024-03-14 00:15:00;29,6200;87,5060;38,9923;57,3415;97,5625;56,5337;39,2008;0,1641;48,3329;66,8138;22,8930;73,6824;24,9318;4,7665;120,0000;0,0000
2024-03-14 00:20:00;25,7300;21,4027;9,3716;9,4236;55,5163;50,3357;36,3709;35,9226;1,3883;16,6108;27,1387;43,2862;10,1712;38,3105;120,0000;0,0000
2024-03-14 00:25:00;31,9500;84,0483;12,6643;27,7623;19,2447;81,2859;67,2644;43,3481;10,8182;4,2832;93,5763;79,4872;40,4291;41,0547;120,0000;0,0000
2024-03-14 00:30:00;31,7400;11,5517;14,1486;8,2284;36,0428;44,3818;82,5012;40,6618;32,0252;81,7972;3,1946;16,9632;18,9305;41,1945;120,0000;0,0000
2024-03-14 00:35:00;30,7900;53,6784;24,5567;22,3015;68,2574;76,0189;49,7662;52,7224;33,6656;7,9865;80,3634;25,4990;40,5130;54,5404;120,0000;0,0000
2024-03-14 00:40:00;30,2500;3,4888;14,1145;95,7077;56,8307;53,7752;2,3776;51,9620;4,9571;94,4381;24,4041;48,6511;95,1143;40,2957;120,0000;0,0000
2024-03-14 00:45:00;29,3300;28,3863;69,6315;26,4369;85,2256;58,9943;25,4607;1,8985;45,5077;74,1425;32,5199;74,3927;42,6026;93,4364;120,0000;0,0000
2024-03-14 00:50:00;27,5500;64,8896;4,6574;80,8760;17,9944;99,1781;14,6835;10,5111;66,8686;44,4922;97,3227;22,6404;12,5725;97,3676;120,0000;0,0000
2024-03-14 00:55:00;32,6500;81,2257;7,3616;22,2460;65,9515;28,2472;86,5670;4,7264;35,8557;69,4499;79,1647;16,8486;81,3461;49,6545;120,0000;0,0000
2024-03-14 01:00:00;29,2100;77,5048;88,7569;11,7794;70,4613;31,9240;61,4997;40,9917;87,0967;47,3698;52,6887;25,0189;59,9797;58,0952;120,0000;0,0000
14.03.2024 01:05:00;28,6100;40,4548;47,7313;57,4660;91,5421;99,9970;3,0451;6,4717;23,3210;66,7740;69,3662;19,4994;55,6972;75,1558;120,0000;0,0000
2024-03-14 01:10:00;27,3700;66,5888;19,2409;97,4422;37,2403;39,1293;86,4328;53,6587;82,5032;30,1144;43,9372;34,3583;80,1412;88,5236;120,0000;0,0000
