System Export Report
Generated: 2024-03-17
Status: OK
timestamp	;inverter_temperature_C;grid_export_raw;irradiance_w_m2;panel_efficiency_pct;ambient_temp_C;voltage_V;current_A;frequency_Hz;reactive_power_kvar;sensor_v1_legacy;estimated_yield_daily ;cloud_cover_pct;humidity_pct;wind_speed_ms;kw_output ;kw_output;forecast_yield
2024-03-14 00:00:00;29,8600;96,2182;16,7629;6,1209;45,5193;56,4591;63,0732;83,7248;36,5508;44,9132;36,3483;35,1613;1,7479;28,1720;888888.8;0,0000;0,0000
2024-03-14 00:15:00;29,1000;3,5366;78,1381;92,0457;13,7902;22,5259;37,7103;69,7216;97,5073;14,6619;32,6254;30,0414;91,3720;13,1053;-10,0000;0,0000;0,0000
2024-03-14 00:30:00;29,9200;58,9950;36,0741;74,9199;72,1866;64,9960;49,0671;58,4217;86,7337;99,6795;52,5690;70,9779;41,9056;83,8577;-10,0000;0,0000;0,0000
2024-03-14 00:45:00;28,7600;52,1210;26,8917;64,3787;36,0292;58,1823;96,8044;19,2421;92,8013;46,9038;52,3382;30,7505;34,4376;69,9912;-10,0000;0,0000;0,0000
2024-03-14 01:00:00;33,6600;94,0198;84,6369;32,3551;2,7025;18,1913;50,9557;58,9082;82,9272;2,3226;28,3588;2,9405;64,2953;43,2255;-10,0000;0,0000;0,0000
2024-03-14 01:15:00;29,9400;37,3377;25,3091;31,3492;61,3029;68,7854;5,7785;15,6195;46,7254;86,6645;82,7190;29,4973;67,0162;8,6446;-10,0000;0,0000;0,0000
2024-03-14 01:30:00;30,8600;73,1831;56,6602;40,8720;12,7196;45,9109;70,5577;92,1377;89,7906;57,6421;31,7977;43,3812;13,2381;61,5641;-10,0000;0,0000;0,0000
2024-03-14 01:45:00;27,8100;25,6216;88,9306;59,2155;85,4185;62,3645;16,5654;77,6915;52,2777;33,8573;43,3412;59,5472;19,4923;30,8690;-10,0000;0,0000;0,0000
14.03.2024 02:00:00;31,0900;66,6675;55,7160;80,0803;38,1869;0,9833;21,7133;48,3435;59,4847;55,5882;86,1759;62,6122;74,6034;18,8894;-10,0000;0,0000;0,0000
2024-03-14 02:15:00;27,6400;45,8970;79,1376;6,6655;31,2444;37,3046;5,4306;61,1291;40,6568;99,5375;42,3966;21,7701;36,7083;11,5802;-10,0000;0,0000;0,0000
2024-03-14 02:30:00;27,3500;37,8507;56,1312;75,3303;90,8951;0,8063;75,7882;88,4399;73,6798;75,6513;6,2201;59,0954;58,5937;52,0204;-10,0000;0,0000;0,0000
2024-03-14 02:45:00;27,7600;77,9225;15,5685;86,1346;45,6349;71,3682;15,8895;44,2259;74,4055;7,9086;36,8453;64,7281;62,3815;82,0862;-10,0000;0,0000;0,0000
2024-03-14 03:00:00;30,1000;93,8621;28,6101;30,1414;91,1230;93,5291;33,6702;97,2364;17,7334;18,1602;65,1024;60,2516;48,2395;7,1358;-10,0000;0,0000;0,0000
14.03.2024 03:15:00;29,8400;76,5796;83,6177;92,9450;86,5286;96,5568;89,7035;55,7804;5,3792;81,9032;74,3107;77,0511;31,4781;26,5294;N/A;0,0000;0,0000
2024-03-14 03:30:00;29,4600;24,6171;20,6214;79,2191;81,9885;41,4626;15,0169;17,9661;48,5425;79,4272;11,6864;47,4050;61,9530;1,0160;-10,0000;0,0000;0,0000
2024-03-14 03:45:00;28,4600;51,5350;68,8579;63,4149;90,9055;91,1503;45,6757;19,3214;15,2014;22,6546;13,3258;43,3406;10,2682;29,8760;-10,0000;0,0000;0,0000
14.03.2024 04:00:00;29,5000;22,3312;76,7387;85,6536;31,9380;39,0352;28,8720;76,7332;23,6524;43,5110;11,5944;33,8330;6,8468;49,3572;-10,0000;0,0000;0,0000
2024-03-14 04:15:00;28,4400;68,1057;84,9104;44,0825;83,8997;75,9079;98,5524;37,8076;18,7073;4,7112;9,3761;22,2966;75,7735;94,4084;-10,0000;0,0000;0,0000
2024-03-14 04:30:00;28,1500;76,2582;8,1543;85,6923;52,2054;3,9926;82,0323;83,0579;90,5178;97,5988;66,8408;34,6557;49,5101;98,7715;-10,0000;0,0000;0,0000
2024-03-14 04:45:00;28,0800;69,6836;80,8186;64,9229;65,0276;73,3587;24,8290;70,0967;63,5390;19,8879;13,2327;39,1122;4,4196;59,8957;-10,0000;0,0000;0,0000
2024-03-14 05:00:00;27,3500;11,8528;39,4612;84,7865;86,6538;84,0695;90,7763;24,1473;1,6258;47,9593;25,2518;42,6326;22,9282;5,1439;-10,0000;0,0000;0,0000
2024-03-14 05:15:00;31,9400;38,9498;93,1520;37,2702;74,6533;18,7717;44,9945;14,8137;32,7515;89,1020;22,6292;48,5755;16,5156;69,2749;-10,0000;0,0000;0,0000
2024-03-14 05:30:00;30,1700;7,7887;28,4486;48,3289;74,1693;58,8430;39,1340;17,9588;32,8613;90,9615;70,8973;42,4048;2,6850;36,8715;-10,0000;0,0000;0,0000
2024-03-14 05:45:00;29,8200;90,2021;22,9477;15,2133;33,7964;99,1083;0,8511;10,3683;41,5916;55,7067;75,1534;43,6453;70,3157;23,7133;-10,0000;0,0000;0,0000
2024-03-14 06:00:00;30,4700;8,9326;53,1994;45,4332;29,0871;15,9111;65,6127;79,5360;77,8580;28,0076;96,0844;52,4228;53,8603;94,5826;-10,0000;0,0000;0,0000
2024-03-14 06:15:00;32,3700;48,5400;49,0041;42,4416;2,9199;84,5410;60,7394;40,5995;85,4993;57,9502;9,6369;53,3864;82,3456;80,5710;73,7580;157,4650;96,6131
2024-03-14 06:30:00;36,5100;1,1311;1,4790;28,3002;22,2439;3,7515;56,8938;23,8107;42,9316;78,5225;66,8791;43,2595;63,9122;81,2298;184,3480;365,3743;249,0305
2024-03-14 06:45:00;35,3400;50,5321;63,9263;46,9278;41,0431;39,7511;47,5086;14,7724;65,1702;37,1702;91,1637;96,9753;46,8364;61,1534;293,9914;571,5038;291,4936
2024-03-14 07:00:00;37,2500;55,9917;17,1721;81,7939;7,8195;56,6296;53,8039;91,1191;4,0622;59,9194;1,3937;33,9115;51,5746;55,9110;341,9263;661,6215;418,4929
2024-03-14 07:15:00;40,0700;79,9318;29,5042;21,2609;75,0437;26,9744;94,1165;66,3462;62,9538;94,4336;59,7123;35,8573;84,1260;79,3385;400,5903;771,9098;528,2029
2024-03-14 07:30:00;47,7100;74,3705;71,1621;65,8560;63,1351;74,9684;81,3657;96,6731;88,7223;25,0953;52,5517;23,2852;58,9645;0,6426;514,0205;985,1585;419,6456
2024-03-14 07:45:00;47,8500;11,8699;30,5572;99,0449;43,9915;84,3209;85,5374;73,3823;81,0392;30,5144;22,8743;45,3683;39,4188;65,5529;626,3920;1.196,4169;718,3931
14.03.2024 08:00:00;50,6400;68,9521;36,1171;5,4654;46,4162;58,5662;74,0369;84,1471;28,1689;3,9021;4,5823;6,4514;50,4816;82,1885;686,3467;1.309,1319;718,9769
2024-03-14 08:15:00;52,5500;23,3255;89,5658;93,1678;64,6378;91,3097;96,8235;38,3393;61,4165;8,9783;55,9752;87,9076;84,3051;23,3707;776,1458;1.477,9540;778,5965
2024-03-14 08:30:00;51,1500;43,8496;71,5676;45,5411;36,1959;13,8911;50,2708;42,2701;7,4504;54,8199;87,5542;1,2962;26,4489;70,7072;852,8871;1.622,2278;837,9528
2024-03-14 08:45:00;51,2400;24,1667;93,7164;4,0444;50,1755;79,4758;30,7784;13,4054;99,7655;96,6202;50,9200;26,2857;44,4617;9,5195;926,5676;1.760,7470;975,7942
2024-03-14 09:00:00;51,5400;43,5116;72,3886;67,8357;97,2197;38,5199;92,0355;51,2876;30,2233;22,0549;94,1370;61,9244;22,4502;2,5317;968,7774;1.840,1015;1.050,5275
2024-13-40 88:99:00;54,7100;88,3367;39,1059;30,5986;53,6812;31,4835;52,3115;90,5032;7,0151;25,3551;49,8652;5,8480;60,6928;55,6267;4.717,1781;1.939,8424;1.059,8780
2024-03-14 09:30:00;56,1300;76,3936;46,5065;4,2875;5,0544;96,3823;85,4491;98,1915;58,3906;24,1022;41,7468;33,0269;3,6162;85,9413;1.145,9691;2.173,2219;997,8836
2024-03-14 09:45:00;62,4800;24,3600;96,8624;93,0761;83,5973;55,4856;95,6353;22,1874;87,3040;9,5410;28,9829;97,2087;33,1219;2,4613;1.159,5417;2.198,7383;1.115,1054
