System Export Report
Generated: 2024-03-17
Status: OK
timestamp	,inverter_temperature_C,grid_export_raw,irradiance_w_m2,panel_efficiency_pct,ambient_temp_C,voltage_V,current_A,frequency_Hz,reactive_power_kvar,sensor_v1_legacy,estimated_yield_daily ,cloud_cover_pct,humidity_pct,wind_speed_ms,output ,output,forecast_yield
2024-03-14 00:00:00,31.75,21.4668,36.4101,59.9353,87.9748,28.7974,11.1255,58.5637,86.057,21.2555,2.5278,88.7792,3.4471,13.746,0.0,0.0,0.0
2024-03-14 00:15:00,30.72,25.9617,28.588,27.4324,67.5592,42.7993,66.9508,37.0401,30.3596,33.738,43.3716,89.5246,58.7284,80.1367,0.0,0.0,0.0
2024-03-14 00:30:00,32.62,56.9536,17.7223,97.9458,13.4159,20.0054,32.7564,1.3154,70.432,45.2055,63.4688,20.4952,72.4677,76.8206,0.0,0.0,0.0
2024-03-14 00:45:00,27.64,94.3837,28.523,87.7374,74.4843,95.3191,18.7882,37.0932,3.9118,81.1983,34.6483,22.7987,96.7306,57.1179,0.0,0.0,0.0
2024-03-14 01:00:00,34.51,98.6151,9.3956,64.6613,68.1563,76.3135,35.4164,95.1837,58.9457,21.7148,19.0224,26.763,56.4659,65.1784,0.0,0.0,0.0
2024-03-14 01:15:00,28.58,76.626,95.1916,49.0063,27.361,35.9512,22.6113,2.2041,77.194,82.9919,34.1623,80.6311,67.3944,48.9774,0.0,0.0,0.0
2024-03-14 01:30:00,31.03,12.0153,38.3375,79.5981,41.1291,23.5649,6.0218,49.7025,96.5835,2.8364,31.7265,90.1378,26.7885,45.8789,0.0,0.0,0.0
2024-03-14 01:45:00,32.49,60.9302,53.9893,64.3422,87.1434,33.0683,50.92,37.198,54.6057,14.079,87.2787,32.517,75.2875,99.6227,0.0,0.0,0.0
2024-03-14 02:00:00,31.65,57.2773,5.4391,90.2208,80.0086,89.7113,82.3414,47.5355,93.1335,56.6162,70.8309,71.0328,58.2823,64.6294,0.0,0.0,0.0
2024-03-14 02:15:00,26.48,83.4428,90.7896,64.8374,29.1094,86.3886,16.1248,65.8793,79.4708,8.2544,50.5278,37.2428,28.1055,72.4861,0.0,0.0,0.0
14.03.2024 02:30:00,28.26,27.368,83.9639,78.1415,84.0619,51.2628,90.2802,70.1044,72.8,92.2814,69.3237,78.8645,21.915,17.617,0.0,0.0,0.0
