System Export Report
Generated: 2024-03-17
Status: OK
timestamp	,inverter_temperature_C,grid_export_raw,irradiance_w_m2,panel_efficiency_pct,ambient_temp_C,voltage_V,current_A,frequency_Hz,reactive_power_kvar,sensor_v1_legacy,estimated_yield_daily ,cloud_cover_pct,humidity_pct,wind_speed_ms,mwh_yield ,mwh_yield,forecast_yield
2024-03-14 00:00:00,27.18,18.6687,5.0561,0.9343,72.614,62.6819,69.9627,19.9005,17.6056,54.5519,90.4328,49.0601,46.5153,53.0567,0.05,0.0,0.0
14.03.2024 00:15:00,34.53,75.7914,56.6334,74.8271,57.5105,49.0129,92.2882,88.5039,43.3677,73.0566,86.0007,73.1254,62.2924,20.1859,0.05,0.0,0.0
2024-03-14 00:30:00,28.42,77.3931,19.1893,67.6896,58.6542,34.3251,66.2059,19.452,50.653,92.8022,36.837,45.4829,29.3859,23.2647,0.05,0.0,0.0
2024-03-14 00:45:00,29.31,56.6491,69.1292,29.2451,72.263,67.9855,44.189,70.2788,44.8173,6.0822,41.8997,80.9187,61.5363,5.0397,0.05,0.0,0.0
2024-03-14 01:00:00,28.24,76.9344,0.9513,57.2334,92.6627,55.0546,66.0418,61.9799,1.6704,6.1877,45.0262,42.8849,98.8624,49.763,0.05,0.0,0.0
2024-03-14 01:15:00,32.65,19.7036,40.1486,41.1259,68.5714,77.2253,65.6599,67.1127,57.431,32.8547,35.3343,12.9134,86.3182,44.1976,0.05,0.0,0.0
2024-03-14 01:30:00,32.65,93.6975,1.6536,34.4982,23.6709,57.1284,25.073,88.3845,28.1065,16.3302,46.0126,45.3987,10.9477,7.4371,0.05,0.0,0.0
2024-03-14 01:45:00,28.52,11.5757,98.9818,36.3451,7.1895,30.7422,90.8321,48.85,71.6959,13.1929,60.7046,53.8651,61.3707,0.3501,0.05,0.0,0.0
2024-03-14 02:00:00,29.48,55.7855,20.4275,88.037,83.391,58.3705,98.9777,71.3643,42.0845,62.8188,37.1469,31.6121,28.2257,30.0448,0.05,0.0,0.0
2024-03-14 02:15:00,31.71,58.7565,10.3251,6.5393,67.9644,33.7236,29.54,32.9297,65.9608,98.4819,2.7876,51.2911,74.6537,36.3689,N/A,0.0,0.0
2024-03-14 02:30:00,29.76,66.722,5.722,30.1224,79.8164,14.9597,74.2411,59.1157,96.5153,67.3929,15.8771,54.8226,36.5201,62.13,0.05,0.0,0.0
