System Export Report
Generated: 2024-03-17
Status: OK
timestamp	,inverter_temperature_C,grid_export_raw,irradiance_w_m2,panel_efficiency_pct,ambient_temp_C,voltage_V,current_A,frequency_Hz,reactive_power_kvar,sensor_v1_legacy,estimated_yield_daily ,cloud_cover_pct,humidity_pct,wind_speed_ms,power,forecast_yield
2024-03-14 00:00:00,31.7,64.2285,60.3238,31.8292,70.109,0.5819,59.1275,68.4061,64.9961,93.5795,44.433,24.0891,80.5137,31.8354,100.0,0.0
2024-03-14 00:05:00,29.08,20.5345,82.7464,67.5357,52.6343,98.3983,17.5312,49.3948,61.1752,12.9301,27.3733,37.5708,68.1141,78.29,100.0,0.0
2024-03-14 00:10:00,26.86,95.8524,45.5529,48.4901,2.5245,81.576,57.3222,4.41,93.008,90.5309,22.2296,88.3379,1.2979,6.7081,100.0,0.0
2024-03-14 00:15:00,30.95,73.9648,57.0355,90.8757,10.935,8.1791,58.5201,27.4755,42.4021,51.8778,1.4573,24.1529,15.0144,23.1415,100.0,0.0
2024-03-14 00:20:00,30.91,21.7627,81.9233,20.5784,90.4178,44.5711,16.3616,52.3588,91.4287,10.5174,8.7771,53.6612,77.6198,47.1305,100.0,0.0
2024-03-14 00:25:00,30.82,51.6105,78.2622,87.4633,47.4383,2.4921,9.2912,63.2828,53.6147,18.8823,98.1028,79.1963,56.8357,78.7788,100.0,0.0
2024-03-14 00:30:00,33.61,41.8657,92.0345,68.1856,28.7899,66.0122,70.3096,40.3277,12.9431,78.8489,79.2518,57.5346,45.5423,96.2462,100.0,0.0
2024-03-14 00:35:00,29.37,90.3527,21.0965,88.5725,53.7485,5.6674,56.5253,33.5948,48.9667,9.5587,96.4167,52.0632,59.0987,82.2889,100.0,0.0
2024-03-14 00:40:00,30.69,80.2356,34.655,38.5293,28.4093,6.6249,23.4805,6.8065,97.8591,29.1247,75.4595,34.0171,45.1084,65.6494,100.0,0.0
2024-03-14 00:45:00,31.89,10.4316,10.5517,74.0289,0.1671,25.157,2.1779,91.1558,49.8762,42.9614,26.4578,99.4446,82.4084,55.2253,100.0,0.0
2024-03-14 00:50:00,31.28,64.8337,41.2899,82.1734,70.1253,23.2003,6.9761,19.0595,80.3445,1.4675,20.7236,6.6398,42.5794,8.3041,100.0,0.0
2024-03-14 00:55:00,29.75,57.8241,49.0803,85.2394,87.9923,17.9166,55.827,85.4234,29.3322,99.4901,68.717,67.8632,18.5414,36.086,100.0,0.0
2024-03-14 01:00:00,29.66,0.6221,38.7152,63.7424,21.5093,7.3849,62.2169,22.2875,22.7747,58.0076,89.7854,35.9714,16.8256,55.0817,100.0,0.0
2024-03-14 01:05:00,33.72,72.5046,57.3447,43.974,81.8001,58.2136,31.1403,71.5587,39.6846,7.6065,8.243,78.0398,83.4771,71.671,100.0,0.0
2024-03-14 01:10:00,25.32,44.8009,17.2028,0.9766,39.9953,10.0964,26.3267,22.5237,45.3716,71.8005,91.6824,34.8291,67.067,69.3604,100.0,0.0
2024-03-14 01:15:00,28.02,81.7206,6.29,75.3511,69.9015,92.8686,63.0762,35.7943,21.76,40.4632,78.9699,76.1144,7.7678,91.6244,100.0,0.0
2024-03-14 01:20:00,31.13,89.9618,11.6602,12.5596,56.2632,29.5477,60.9164,15.8084,92.9746,63.2154,73.8267,49.0701,97.7127,74.8145,100.0,0.0
2024-03-14 01:25:00,31.35,73.6253,41.2176,14.1645,5.7862,78.5802,14.7125,91.201,20.0466,59.9178,36.0496,99.1935,76.5022,7.4496,100.0,0.0
2024-03-14 01:30:00,30.94,66.8319,83.2496,69.262,12.6738,83.3101,99.6379,24.1139,56.1497,83.9839,19.5463,18.9602,80.5949,93.9715,100.0,0.0
2024-03-14 01:35:00,28.07,61.4357,90.454,61.6607,6.6141,89.6058,26.8207,73.7378,68.5363,4.3995,27.6212,8.4262,40.8083,42.4552,100.0,0.0
2024-03-14 01:40:00,30.94,58.674,89.8768,60.1289,17.7207,93.0994,12.6405,64.3135,3.5126,35.1159,18.456,32.6294,99.667,54.2214,100.0,0.0
2024-03-14 01:45:00,28.37,95.2784,94.1019,72.5973,83.8719,34.7758,42.5845,53.9924,45.9471,42.755,81.9973,95.9662,43.8041,88.8544,100.0,0.0
2024-03-14 01:50:00,29.96,43.6918,64.9045,20.5453,11.9674,28.7835,93.9828,60.0165,25.1351,41.4938,8.5559,95.2213,36.2955,89.0658,100.0,0.0
2024-03-14 01:55:00,31.49,37.6288,37.4175,58.8881,71.807,14.946,24.7829,19.0998,37.32,6.195,68.5518,41.3025,59.7136,22.2955,100.0,0.0
2024-03-14 02:00:00,32.45,27.5864,68.7566,81.4753,42.8889,15.6341,86.7564,99.0402,73.3066,40.9796,49.1211,44.2653,85.1387,50.2812,100.0,0.0
2024-03-14 02:05:00,31.64,77.4244,40.9886,63.9469,94.5069,30.4484,58.8433,92.1564,53.188,31.7406,33.5814,22.4798,91.3679,73.9391,100.0,0.0
2024-03-14 02:10:00,31.45,7.3651,8.5876,45.1642,47.1525,65.8894,6.319,59.4341,84.4693,62.548,87.2059,42.2277,35.3291,26.3722,100.0,0.0
2024-03-14 02:15:00,30.18,23.042,14.7261,71.5855,32.8029,30.0376,4.8663,46.4991,90.3322,59.8397,25.6626,49.6278,80.224,22.9356,100.0,0.0
2024-03-14 02:20:00,31.46,71.4739,40.9701,65.1334,10.9446,37.1612,71.8107,5.3074,98.5528,10.8148,28.8153,86.1251,95.1161,83.5674,100.0,0.0
2024-03-14 02:25:00,31.99,16.8728,56.2637,43.4591,51.696,26.2483,98.3838,13.8301,62.7855,53.9509,5.1633,16.883,60.5078,18.1642,100.0,0.0
2024-03-14 02:30:00,26.94,97.8181,12.0597,3.3479,18.996,74.6188,62.0909,36.3767,55.3958,52.6399,43.3625,58.9847,27.3425,19.8119,100.0,0.0
2024-03-14 02:35:00,28.71,13.0409,88.3826,89.2556,48.4862,35.5524,65.233,39.0939,36.2178,75.3082,44.5908,0.2475,84.4747,8.0919,100.0,0.0
2024-03-14 02:40:00,31.13,19.4967,63.7112,19.6066,85.6408,15.9106,21.88,50.492,49.3086,71.2825,61.7595,55.2732,34.8471,54.1203,100.0,0.0
2024-03-14 02:45:00,32.26,10.411,72.2317,1.7722,49.7415,17.8214,49.797,32.6074,82.7022,8.952,34.3062,48.402,67.4881,98.7688,100.0,0.0
2024-03-14 02:50:00,26.07,38.9572,73.0951,85.8224,95.2032,72.8795,89.5886,38.6911,39.3621,47.3749,92.2638,77.5524,76.7002,6.7441,100.0,0.0
2024-03-14 02:55:00,30.23,82.9183,54.089,32.2077,39.6179,65.7554,95.1134,75.5324,20.4777,79.737,97.7471,8.4446,85.4917,38.6927,100.0,0.0
2024-03-14 03:00:00,28.52,30.6995,3.5073,4.0037,33.1035,42.1727,24.1113,80.4187,74.2326,58.373,29.3353,17.8228,51.1679,7.5988,100.0,0.0
2024-03-14 03:05:00,29.6,67.0041,35.683,15.767,23.6747,47.8857,4.5862,16.641,79.4696,64.8191,82.3105,26.8331,12.4768,64.6334,100.0,0.0
2024-03-14 03:10:00,28.95,46.9254,53.0481,54.3716,74.2591,86.1513,57.5155,70.8967,96.8471,37.5857,9.7721,43.0009,43.5881,40.8478,100.0,0.0
2024-03-14 03:15:00,30.94,74.6134,1.7776,47.9874,89.2832,15.3395,15.7855,68.1274,61.0985,26.8228,26.8687,96.724,9.4509,6.434,100.0,0.0
2024-03-14 03:20:00,31.74,70.6578,29.7434,1.8282,28.4626,23.8119,66.3001,29.6315,47.5283,26.9518,31.7844,48.455,59.6381,63.5764,100.0,0.0
2024-03-14 03:25:00,29.9,31.5703,22.036,82.0982,25.6372,44.1973,5.9781,97.8559,58.7575,94.4342,15.2132,28.7483,61.3694,51.6528,100.0,0.0
