System Export Report
Generated: 2024-03-17
Status: OK
timestamp	,inverter_temperature_C,grid_export_raw,irradiance_w_m2,panel_efficiency_pct,ambient_temp_C,voltage_V,current_A,frequency_Hz,reactive_power_kvar,sensor_v1_legacy,estimated_yield_daily ,cloud_cover_pct,humidity_pct,wind_speed_ms,kw_val,forecast_yield
2024-03-14 00:00:00,31.04,2.2485,16.0478,20.3172,73.5928,91.0716,72.4106,28.3544,24.2074,65.7045,47.548,9.0268,43.8824,24.5094,20.0,0.0
2024-03-14 00:05:00,29.12,97.2387,41.6801,62.2566,20.2696,19.9756,58.2368,83.8995,6.5396,3.2041,18.1762,99.559,92.2558,89.1798,20.0,0.0
2024-03-14 00:10:00,30.27,80.7757,58.1637,17.4939,22.9871,10.2662,53.1313,75.8244,68.8292,97.6485,4.4069,36.0169,15.5782,85.7529,20.0,0.0
2024-03-14 00:15:00,31.51,82.3681,25.6356,54.411,29.4857,64.4599,8.0602,87.5275,89.4189,66.2303,82.7025,20.0164,92.1467,45.1108,20.0,0.0
2024-03-14 00:20:00,31.7,90.5918,80.1306,53.3052,63.459,60.6664,31.118,16.7364,95.8184,74.3034,95.8445,15.0909,68.558,65.0817,20.0,0.0
2024-03-14 00:25:00,29.31,68.1362,15.0102,3.8117,5.9155,64.9268,31.1658,44.6174,24.2492,40.0771,11.0643,91.8737,21.6667,61.0784,20.0,0.0
2024-03-14 00:30:00,29.12,39.5528,48.7153,3.5005,4.2735,9.3799,78.4219,69.0359,24.8567,16.6355,21.6204,16.449,28.2576,99.0779,20.0,0.0
2024-03-14 00:35:00,29.15,18.8366,32.5015,33.0758,99.9148,54.2481,99.8523,78.9701,8.4671,70.4129,38.08,95.3956,80.9791,53.8414,20.0,0.0
2024-03-14 00:40:00,29.1,49.9265,15.8219,27.4862,9.5655,57.1578,56.1444,72.3092,13.3406,42.8009,69.7876,90.8619,55.6886,44.8154,20.0,0.0
2024-03-14 00:45:00,32.37,46.9263,3.5189,7.3922,22.1989,51.2961,9.9825,63.7252,92.0163,13.8458,45.8055,62.6976,54.4456,54.0185,20.0,0.0
2024-03-14 00:50:00,27.74,79.8295,68.2732,52.8726,90.7667,83.7249,75.767,34.9192,1.5407,93.6548,28.4868,83.2907,20.7517,40.8221,20.0,0.0
2024-03-14 00:55:00,29.7,28.7797,58.5627,95.0915,79.9821,67.3688,92.7156,76.5455,41.0552,73.1818,84.0694,35.1312,17.14,40.6982,20.0,0.0
2024-03-14 01:00:00,32.62,67.0372,98.7925,1.5835,14.0422,31.462,47.1623,31.4617,94.3277,78.758,71.3095,47.1645,79.4329,87.6926,20.0,0.0
2024-03-14 01:05:00,31.33,63.3509,52.6436,49.981,83.3675,78.5514,12.842,65.5107,24.8055,31.1178,27.1306,14.4885,87.3476,92.5579,20.0,0.0
2024-03-14 01:10:00,29.7,54.8505,74.6951,86.4499,24.3435,58.2375,93.9509,46.9138,36.3684,96.818,91.1726,93.1244,27.3949,14.0566,20.0,0.0
2024-03-14 01:15:00,31.28,22.1327,23.1985,79.6012,21.9658,22.032,67.5772,79.6744,72.6493,91.9324,94.8947,68.3241,51.5221,16.4687,20.0,0.0
