System Export Report
Generated: 2024-03-17
Status: OK
timestamp	,inverter_temperature_C,grid_export_raw,irradiance_w_m2,panel_efficiency_pct,ambient_temp_C,voltage_V,current_A,frequency_Hz,reactive_power_kvar,sensor_v1_legacy,estimated_yield_daily ,cloud_cover_pct,humidity_pct,wind_speed_ms,yield_mwh,forecast_yield
2024-03-14 00:00:00,29.69,60.8598,84.557,55.1016,48.5348,56.4291,67.1245,40.6948,16.3605,88.5011,90.3724,88.3315,52.0041,99.377,0.05,0.0
2024-03-14 00:15:00,29.49,31.6099,8.9041,81.8354,80.2609,17.5553,36.984,43.1114,60.8332,79.6089,48.2137,71.1582,4.5014,45.2763,0.05,0.0
2024-03-14 00:30:00,28.41,20.7925,55.6602,40.2061,46.3709,92.3454,99.6733,28.4311,10.1925,49.4865,7.3722,12.8914,43.3863,73.2484,0.05,0.0
2024-03-14 00:45:00,31.52,4.4656,63.2341,15.0594,18.1354,95.1652,15.0484,1.7125,39.0301,90.7931,4.0236,20.7259,23.5177,95.3274,0.05,0.0
2024-03-14 01:00:00,29.1,21.2856,24.5476,46.1896,77.4406,38.1001,81.3031,3.3474,72.761,92.9642,45.1732,73.977,13.1798,37.9092,0.05,0.0
2024-03-14 01:15:00,27.28,10.5005,22.0588,34.6544,53.5971,77.0635,34.8186,40.3331,23.7675,5.0155,50.0182,77.0859,96.1078,50.477,0.05,0.0
2024-03-14 01:30:00,25.38,90.9706,13.106,91.5703,27.3816,41.175,25.6879,45.7262,62.7083,27.289,87.2489,95.3187,17.4853,79.1168,0.05,0.0
2024-03-14 01:45:00,32.0,81.4746,92.6933,15.9592,55.7568,20.7912,92.607,47.3151,40.0383,16.8685,40.3801,65.8493,89.9791,94.2435,0.05,0.0
2024-03-14 02:00:00,29.78,91.2369,28.0784,95.701,96.5289,80.1645,95.129,80.2678,23.4321,38.341,51.8051,36.8317,25.2717,2.7256,0.05,0.0
2024-13-40 88:99:00,26.6,31.2595,5.2144,9.5383,15.197,40.5413,91.0421,49.4169,78.6203,74.3032,15.0214,20.3484,7.8194,62.7509,1.3172,0.0
2024-03-14 02:30:00,32.78,26.7347,15.3611,52.0984,33.6928,61.4304,74.1424,11.7071,56.3634,85.2494,54.7013,23.3406,39.8554,97.1735,0.05,0.0
2024-03-14 02:45:00,30.31,88.1636,63.1329,72.64,65.8348,28.1272,80.5204,69.0947,23.0769,97.2345,3.9974,86.8951,2.1155,41.6547,0.05,0.0
2024-03-14 03:00:00,34.64,88.531,12.0816,39.7333,61.3022,29.0978,81.7882,52.4963,95.5204,11.7306,87.8256,51.8571,58.9755,12.5774,0.05,0.0
14.03.2024 03:15:00,30.08,2.628,34.3772,26.6905,0.7827,52.1139,97.8296,0.5182,33.7527,48.1624,97.8135,50.3675,58.8626,11.4636,0.05,0.0
2024-03-14 03:30:00,28.94,61.7316,57.3836,60.6325,68.1489,23.8762,58.7788,48.1632,53.1251,82.315,88.8972,37.4564,18.6724,22.7235,0.05,0.0
2024-03-14 03:45:00,30.39,17.9553,17.0067,30.7777,85.4109,1.8941,96.0713,81.772,39.8597,42.9074,12.8778,1.3841,43.248,55.303,0.05,0.0
2024-03-14 04:00:00,31.69,56.1081,45.9174,51.7234,89.3128,95.0662,22.4109,63.6265,73.684,78.8961,30.1461,92.804,72.9059,2.7557,0.05,0.0
2024-03-14 04:15:00,29.12,75.9586,72.9262,13.0052,74.3687,23.7715,74.3442,47.6722,35.8343,3.5173,25.0208,85.6474,95.9691,65.9481,0.05,0.0
14.03.2024 04:30:00,27.99,30.2972,61.0762,12.8838,18.3606,92.4013,8.0525,10.6492,33.6924,32.7962,19.278,5.0179,55.5691,96.2086,0.05,0.0
2024-03-14 04:45:00,31.53,57.4729,62.1578,27.1433,36.8017,64.6963,14.2193,48.7819,41.5368,77.0581,65.3961,3.6047,92.1949,50.9359,0.05,0.0
2024-03-14 05:00:00,25.98,81.8438,43.9749,38.1834,56.1215,92.1859,52.2367,71.701,64.4656,72.9277,54.2807,88.0149,99.8918,50.7204,0.05,0.0
2024-13-40 88:99:00,32.49,23.1839,38.2052,92.8771,47.7434,89.1609,51.3257,71.2672,67.7063,7.674,64.2338,23.1526,31.8445,19.1421,1.3172,0.0
2024-03-14 05:30:00,32.45,80.7621,31.8152,59.3083,42.2971,12.8876,46.7984,9.7319,84.677,90.6527,80.8004,90.8356,99.4647,21.4164,0.05,0.0
2024-03-14 05:45:00,28.22,89.0856,99.2403,68.3407,57.7263,60.947,15.0802,47.6323,66.9937,0.6724,67.5184,19.6759,27.6224,99.2461,0.05,0.0
14.03.2024 06:00:00,35.03,15.8103,59.1272,77.9159,87.1613,25.6848,26.7276,62.7615,45.663,4.501,46.9106,90.2817,82.1881,86.3179,0.05,0.0
2024-03-14 06:15:00,34.95,40.5283,39.556,12.6035,88.4623,59.3029,80.8344,92.9356,78.2985,65.2854,35.3954,43.1464,17.0672,78.684,0.077,0.026
2024-03-14 06:30:00,34.02,20.9315,81.7329,23.0275,26.7761,81.862,83.405,81.6124,56.3164,19.3533,76.2002,63.1432,59.4376,82.0806,0.1016,0.0492
2024-03-14 06:45:00,36.91,70.1359,26.0702,27.8831,39.346,76.393,99.4104,32.1343,85.3347,24.1103,43.9284,93.638,48.7312,75.7318,0.1293,0.0569
2024-03-14 07:00:00,40.77,53.7562,46.0999,51.967,56.723,81.9522,41.7797,92.3506,76.2148,78.7613,39.3935,36.6184,99.1374,14.3571,0.1534,0.1071
2024-03-14 07:15:00,42.08,90.43,90.8255,91.3789,81.6967,47.5492,67.7495,53.0608,35.2042,78.1303,8.843,47.9533,44.4334,47.6797,0.1817,0.1118
2024-03-14 07:30:00,46.02,39.5119,0.7329,71.567,11.7519,52.5366,60.5662,4.1687,5.7675,12.4537,44.9979,38.8881,29.7675,35.493,-999.0,0.1072
