System Export Report
Generated: 2024-03-17
Status: OK
timestamp	;inverter_temperature_C;grid_export_raw;irradiance_w_m2;panel_efficiency_pct;ambient_temp_C;voltage_V;current_A;frequency_Hz;reactive_power_kvar;sensor_v1_legacy;estimated_yield_daily ;cloud_cover_pct;humidity_pct;wind_speed_ms;yield ;yield;forecast_yield
2024-03-14 00:00:00;28,1600;14,0085;51,4094;4,8465;43,7452;61,2626;44,4531;58,0596;41,6266;29,0122;1,5742;99,5595;20,8164;85,7185;-2.000,0000;0,0000;0,0000
14.03.2024 00:15:00;31,6700;34,7618;38,3266;93,2226;15,6981;48,0546;31,9032;16,7299;14,8499;90,7526;44,0166;16,0423;51,5856;81,2956;-2.000,0000;0,0000;0,0000
2024-03-14 00:30:00;31,8600;29,8858;63,8281;19,2755;1,4684;70,1575;50,7946;64,0156;87,7817;8,2612;12,7686;65,2722;72,3747;37,4970;-2.000,0000;0,0000;0,0000
2024-03-14 00:45:00;29,1000;97,6432;17,7375;99,4375;75,8375;64,1340;93,2128;7,5698;25,8086;2,3508;72,2235;88,6101;86,0988;8,3159;-2.000,0000;0,0000;0,0000
2024-03-14 01:00:00;31,0900;61,8710;36,0558;33,8922;82,2767;73,8941;80,6854;67,0785;4,5285;75,1413;16,0147;90,7679;42,8387;54,6283;-2.000,0000;0,0000;0,0000
14.03.2024 01:15:00;29,4400;37,8249;46,4133;99,4580;33,2982;78,5097;85,3559;11,6086;26,2375;37,0053;0,9324;13,8564;56,1333;59,6576;-2.000,0000;0,0000;0,0000
2024-03-14 01:30:00;29,8100;83,0626;94,2675;70,1451;60,2340;45,5466;25,1158;86,2869;94,7063;13,0766;28,0860;63,2538;96,6727;78,8239;-2.000,0000;0,0000;0,0000
2024-03-14 01:45:00;29,9100;60,3348;84,7452;61,3397;57,2124;24,7192;23,5178;91,4180;45,5109;71,9051;8,9301;18,0972;76,1775;9,3985;-2.000,0000;0,0000;0,0000
2024-03-14 02:00:00;30,9800;95,5641;60,5197;24,3696;86,9562;42,1049;11,4061;46,6159;20,8786;16,8235;95,4461;43,4836;25,1832;4,9546;-2.000,0000;0,0000;0,0000
2024-03-14 02:15:00;29,4300;51,5980;56,1336;20,7421;44,1966;78,0309;38,0308;85,6321;3,3066;30,7410;34,0112;6,8419;40,1226;78,3051;-2.000,0000;0,0000;0,0000
