System Export Report
Generated: 2024-03-17
Status: OK
timestamp	;inverter_temperature_C;grid_export_raw;irradiance_w_m2;panel_efficiency_pct;ambient_temp_C;voltage_V;current_A;frequency_Hz;reactive_power_kvar;sensor_v1_legacy;estimated_yield_daily ;cloud_cover_pct;humidity_pct;wind_speed_ms;reading;forecast_yield
14.03.2024 00:00:00;35,1700;84,8966;55,8611;16,0472;14,6160;57,2039;11,6409;67,0418;89,7450;16,3791;88,9744;86,4457;50,1076;67,0515;18.000,0000;0,0000
2024-03-14 00:15:00;27,1600;87,7179;2,9663;17,9166;57,7692;45,0392;46,7309;90,3192;11,5160;3,2588;85,9433;73,9716;27,4054;27,1520;18.000,0000;0,0000
14.03.2024 00:30:00;29,0500;75,7017;48,4053;24,8077;80,2512;60,4634;61,2734;41,9479;95,9757;22,9526;18,2366;80,8576;64,4541;46,8906;18.000,0000;0,0000
2024-03-14 00:45:00;29,9200;5,2334;58,9573;52,3389;9,8798;17,9512;20,7159;74,7936;14,7260;4,1605;80,2955;96,8333;42,0088;90,9963;18.000,0000;0,0000
2024-03-14 01:00:00;28,8600;77,8425;58,4342;43,1872;38,3038;87,3321;1,0885;25,2151;74,8762;42,9677;75,0775;97,4258;73,9651;65,7295;18.000,0000;0,0000
14.03.2024 01:15:00;27,2900;43,1418;99,0837;44,0168;21,7601;86,7941;96,5750;34,3676;68,3005;30,1920;93,4322;47,9167;65,9283;37,9128;18.000,0000;0,0000
2024-03-14 01:30:00;28,7200;84,7325;9,2371;75,7174;37,9517;48,1993;8,2614;0,8682;88,4525;1,8535;51,7387;3,0538;91,1381;7,8783;18.000,0000;0,0000
2024-03-14 01:45:00;29,5100;15,8014;98,0096;0,7331;74,9232;47,0180;14,9830;68,4709;36,1560;37,3491;86,0694;31,0581;66,7528;78,7871;18.000,0000;0,0000
2024-03-14 02:00:00;27,6800;39,4372;8,8058;96,1750;44,8149;18,4653;43,9907;79,8062;97,4793;24,7208;33,0849;31,0766;84,3649;20,5683;18.000,0000;0,0000
2024-03-14 02:15:00;28,8600;81,3931;60,5736;46,4314;80,5384;75,3505;80,5355;34,0242;19,0309;13,1243;7,2167;80,5413;5,4111;47,3733;18.000,0000;0,0000
2024-03-14 02:30:00;33,2200;48,2412;5,7703;21,8772;98,4874;46,8873;9,8928;17,7567;6,0432;15,9945;97,2464;80,2816;33,5362;85,0748;18.000,0000;0,0000
2024-03-14 02:45:00;28,8500;22,0593;32,8497;0,5979;19,2600;91,7958;15,8972;42,8198;95,7200;12,4591;26,1353;57,2640;14,7513;22,7945;18.000,0000;0,0000
2024-03-14 03:00:00;27,4400;52,9958;27,2071;99,2547;31,8202;62,2021;53,4468;63,4358;6,8003;65,2591;9,3435;12,2094;80,6059;82,5782;18.000,0000;0,0000
14.03.2024 03:15:00;31,7900;80,4562;50,7375;21,8313;7,2227;19,1164;24,1500;71,1296;57,5460;82,3158;55,2660;94,9227;59,8869;94,9525;18.000,0000;0,0000
14.03.2024 03:30:00;31,4400;92,5690;74,1584;20,0463;74,2470;21,1721;24,4830;69,0084;34,7756;74,2521;12,0830;8,3312;68,3126;15,8843;18.000,0000;0,0000
2024-03-14 03:45:00;30,3800;2,6891;22,5154;11,4816;39,9094;79,5658;3,8800;96,3836;46,3974;13,6239;65,9478;76,4941;49,5703;91,2450;18.000,0000;0,0000
2024-03-14 04:00:00;33,8700;67,6306;22,3744;90,9609;68,5305;25,5971;85,1735;72,8133;34,3258;57,5071;19,1480;78,6450;16,0621;76,8085;18.000,0000;0,0000
2024-03-14 04:15:00;29,5000;47,0670;13,6113;4,7103;65,6750;63,4930;19,3675;55,4957;6,2003;99,6962;46,3419;68,1520;69,8521;41,4659;18.000,0000;0,0000
2024-03-14 04:30:00;30,7200;98,1106;47,3920;85,1254;21,9589;73,2847;55,8750;2,3646;20,2576;16,1851;57,3286;83,3321;71,4414;0,1470;18.000,0000;0,0000
