System Export Report
Generated: 2024-03-17
Status: OK
timestamp	;inverter_temperature_C;grid_export_raw;irradiance_w_m2;panel_efficiency_pct;ambient_temp_C;voltage_V;current_A;frequency_Hz;reactive_power_kvar;sensor_v1_legacy;estimated_yield_daily ;cloud_cover_pct;humidity_pct;wind_speed_ms;energy_out ;energy_out;forecast_yield
2024-03-14 00:00:00;30,2200;93,1735;38,8617;46,7723;17,6545;90,3959;46,4120;20,1762;20,2339;33,1460;92,3978;68,2889;30,2475;17,7624;8.500,0000;0,0000;0,0000
2024-03-14 00:15:00;27,3600;96,9050;51,3450;85,8977;53,9838;91,4880;22,9548;56,4742;40,6933;88,7926;27,3133;73,3568;14,4931;19,1776;8.500,0000;0,0000;0,0000
2024-03-14 00:30:00;24,3400;58,7659;34,0187;65,7343;83,6706;9,7923;47,1034;86,8314;22,5679;73,9748;1,3035;1,6066;10,7631;54,4912;8.500,0000;0,0000;0,0000
2024-03-14 00:45:00;30,2300;81,3246;26,3463;87,5380;56,0307;8,1056;85,5975;55,2624;62,0235;13,5008;32,9195;17,5415;32,8932;71,5539;8.500,0000;0,0000;0,0000
2024-03-14 01:00:00;28,5700;87,5282;3,1723;20,1811;8,3538;66,6605;74,5196;27,5709;88,1622;38,1770;59,5999;72,9294;81,1377;95,7619;8.500,0000;0,0000;0,0000
2024-03-14 01:15:00;29,0300;14,3086;78,9349;3,8758;62,8124;83,2897;24,9364;35,0540;45,1293;77,2829;44,8549;75,8972;20,2407;96,9397;8.500,0000;0,0000;0,0000
2024-03-14 01:30:00;31,9700;80,0854;11,1556;0,9064;72,4428;25,5401;60,9258;13,5602;26,9138;43,9191;24,4962;17,8424;25,9231;66,8984;8.500,0000;0,0000;0,0000
2024-03-14 01:45:00;28,7800;36,1262;38,0743;57,0453;68,7185;70,5643;94,1692;85,6424;37,4477;69,0899;8,5594;54,2226;44,4391;13,2054;8.500,0000;0,0000;0,0000
2024-03-14 02:00:00;32,0300;99,6544;4,5732;32,7680;43,3471;30,2702;98,7257;2,1286;49,3157;15,1874;37,3481;12,7542;43,3150;12,1915;8.500,0000;0,0000;0,0000
2024-03-14 02:15:00;29,9100;59,3081;9,6189;55,1893;33,8467;22,4638;1,5374;5,8852;51,3336;80,6971;82,7710;46,5332;66,7487;33,8894;8.500,0000;0,0000;0,0000
