System Export Report
Generated: 2024-03-17
Status: OK
timestamp	;inverter_temperature_C;grid_export_raw;irradiance_w_m2;panel_efficiency_pct;ambient_temp_C;voltage_V;current_A;frequency_Hz;reactive_power_kvar;sensor_v1_legacy;estimated_yield_daily ;cloud_cover_pct;humidity_pct;wind_speed_ms;generation ;generation;forecast_yield
2024-03-14 00:00:00;29,4600;60,7604;54,4246;69,8381;64,1938;39,2758;21,0790;77,8628;90,1005;46,3240;63,5988;6,0440;84,8790;32,9466;-15,0000;0,0000;0,0000
2024-03-14 00:15:00;32,7500;63,7695;77,1883;74,7863;15,3834;85,4339;57,7815;40,9448;36,3186;53,4135;46,0861;65,9562;69,8765;81,8266;-15,0000;0,0000;0,0000
2024-03-14 00:30:00;29,2300;48,6760;99,9160;97,4184;81,5526;7,1127;85,1874;24,7096;52,7025;60,2528;40,5596;33,6146;51,1282;83,8986;-15,0000;0,0000;0,0000
2024-03-14 00:45:00;32,5400;83,5077;62,2725;21,1470;1,0614;98,3894;17,8726;10,8806;99,7984;54,6894;98,9245;71,9924;98,0109;73,5566;-15,0000;0,0000;0,0000
2024-03-14 01:00:00;30,8300;14,4088;50,8509;54,0456;62,8813;24,3302;87,3134;45,7473;60,3505;42,2586;79,3558;68,9987;18,2661;11,4914;-15,0000;0,0000;0,0000
2024-03-14 01:15:00;32,3800;70,6830;3,4374;19,4363;20,9330;19,2743;76,8387;88,1688;18,5402;56,7518;24,4750;60,0271;15,1078;40,6570;-15,0000;0,0000;0,0000
2024-03-14 01:30:00;28,8200;13,1007;91,4094;44,3199;76,9450;88,2301;30,0243;86,4599;40,2787;24,8619;61,3572;77,0970;43,6469;43,1823;-15,0000;0,0000;0,0000
2024-03-14 01:45:00;33,7000;59,9567;77,4535;40,6753;8,9177;43,0882;28,9202;56,7271;21,6860;88,2771;4,8754;89,5326;15,9200;36,8719;-15,0000;0,0000;0,0000
2024-03-14 02:00:00;28,3300;69,0714;87,3775;74,4704;79,5306;0,2341;64,1570;2,7388;98,4395;62,3811;36,7636;45,8022;50,5336;78,2584;-15,0000;0,0000;0,0000
2024-03-14 02:15:00;31,7600;46,3342;85,1331;45,2157;40,9247;29,1721;46,1668;68,3434;84,3865;20,5866;55,6695;11,2783;86,9390;46,3982;-15,0000;0,0000;0,0000
2024-03-14 02:30:00;31,9900;84,2664;78,7483;74,3162;77,2436;78,2672;42,0746;28,7161;31,3305;4,1425;77,0393;67,8397;28,8161;58,3012;-15,0000;0,0000;0,0000
2024-03-14 02:45:00;29,0000;18,3548;16,7460;71,5241;47,9788;40,4922;26,8067;95,4013;92,3846;47,6097;42,3374;82,7644;20,8534;95,8761;-15,0000;0,0000;0,0000
14.03.2024 03:00:00;32,3800;2,0520;31,7517;15,1960;80,0333;22,9134;40,6586;90,5942;30,4054;57,5876;73,4383;73,5287;86,5487;79,5732;-15,0000;0,0000;0,0000
2024-03-14 03:15:00;28,3400;40,7436;95,8410;3,8629;22,2382;84,4360;88,7993;91,8072;57,6455;96,6212;68,2742;8,0133;45,9048;52,3981;-15,0000;0,0000;0,0000
2024-03-14 03:30:00;28,8900;12,5776;31,6768;2,6195;89,4121;93,7167;80,0840;37,7793;11,1348;88,6615;32,7195;71,6484;98,0098;63,9852;-15,0000;0,0000;0,0000
2024-03-14 03:45:00;26,9000;46,9118;5,8185;20,0713;47,5462;63,8364;10,4466;5,6897;42,5976;71,5523;75,4052;40,3603;34,1406;93,1077;-15,0000;0,0000;0,0000
14.03.2024 04:00:00;35,2200;14,2472;9,9447;33,6778;58,7340;60,8518;27,4667;96,0405;22,4535;21,1059;5,4799;95,1060;3,4508;61,0837;-15,0000;0,0000;0,0000
2024-03-14 04:15:00;26,9900;9,7278;11,9000;24,3556;4,7718;80,3469;75,1383;91,1471;30,7770;23,8394;26,7362;79,7013;16,3348;73,4161;-15,0000;0,0000;0,0000
2024-03-14 04:30:00;32,8100;36,2600;69,7094;18,9655;91,9552;17,8021;77,4642;43,0802;70,0347;69,9657;74,3858;95,1296;24,9015;80,7117;-15,0000;0,0000;0,0000
2024-03-14 04:45:00;31,9800;33,2165;54,0111;46,4871;56,4972;76,5259;11,1005;89,6618;5,4716;39,2070;32,7380;23,7516;31,5054;9,3866;-15,0000;0,0000;0,0000
2024-03-14 05:00:00;31,0700;59,4369;64,7522;36,6917;17,5630;66,5498;67,3139;28,6888;43,3443;73,5500;91,2174;33,7128;11,2144;98,9730;-15,0000;0,0000;0,0000
2024-03-14 05:15:00;30,4700;39,4918;3,4062;73,1664;83,0466;80,8029;51,6269;31,0479;68,4429;1,4265;44,2978;87,6023;69,8843;20,1056;-15,0000;0,0000;0,0000
14.03.2024 05:30:00;28,5800;49,9173;87,7957;63,3001;68,8162;63,9577;48,9127;43,2366;10,1402;41,2106;64,5967;44,6683;41,7622;63,5078;-15,0000;0,0000;0,0000
14.03.2024 05:45:00;30,5000;41,7530;37,7013;40,7815;94,4077;4,5243;48,6327;39,8093;40,6897;26,9188;69,9443;82,6898;67,4049;60,5071;-15,0000;0,0000;0,0000
2024-03-14 06:00:00;29,3100;61,1415;39,8535;13,4484;71,2092;78,3564;12,5887;6,9037;85,1007;23,6881;4,5170;72,4586;42,8989;80,3141;-15,0000;0,0000;0,0000
2024-03-14 06:15:00;31,3200;77,6024;31,5290;78,0169;71,6456;62,3630;49,2132;26,4847;90,9982;93,8672;29,3604;32,9599;56,4149;3,9260;2,2059;32,3471;18,6186
2024-03-14 06:30:00;32,7000;64,1690;40,5369;64,5335;33,1144;7,4316;84,7842;97,6100;12,9586;46,8189;91,7321;5,3467;71,7993;77,0579;20,3245;66,4100;35,9873
2024-03-14 06:45:00;39,4800;66,8242;55,1955;43,4175;44,0175;8,4227;65,1250;35,0769;92,0805;36,8671;96,6346;16,9891;98,7267;62,9858;39,3786;102,2318;65,7783
2024-03-14 07:00:00;43,5400;33,9749;15,2451;23,8450;33,0492;5,9319;99,4710;90,3548;29,5058;2,6495;94,8993;41,2831;4,6517;68,2305;-999.0;126,8816;56,4566
2024-03-14 07:15:00;43,9800;19,8686;77,7866;1,3577;18,3098;61,1479;28,4609;53,4544;53,0482;69,0140;80,2844;88,0370;10,6612;49,1643;-999.0;160,5379;71,4985
14.03.2024 07:30:00;42,8300;77,6417;86,4958;71,4866;41,6605;68,6986;30,3127;12,6247;7,4034;83,8449;49,6472;69,9396;49,6067;92,3243;98,0989;212,6260;143,5991
2024-03-14 07:45:00;44,9300;71,7007;14,4986;41,5832;22,5862;95,1348;59,8557;92,8382;7,6298;87,8247;38,6916;50,8524;25,1176;46,8039;103,3939;222,5806;147,7438
