System Export Report
Generated: 2024-03-17
Status: OK
timestamp	,inverter_temperature_C,grid_export_raw,irradiance_w_m2,panel_efficiency_pct,ambient_temp_C,voltage_V,current_A,frequency_Hz,reactive_power_kvar,sensor_v1_legacy,estimated_yield_daily ,cloud_cover_pct,humidity_pct,wind_speed_ms,value,forecast_yield
2024-03-14 00:00:00,29.45,54.3711,70.2456,50.4116,92.4449,27.2328,50.2595,44.3563,80.9096,21.7842,81.3712,80.5556,22.5343,55.8925,-0.04,0.0
2024-03-14 00:15:00,31.83,20.0979,14.8158,3.0238,1.9774,34.9639,77.4775,68.9894,12.8335,75.9898,2.7024,35.6402,32.9227,8.2037,-0.04,0.0
2024-03-14 00:30:00,30.78,20.103,2.8518,83.9113,25.491,69.6327,12.518,59.3108,66.2016,98.5223,40.6172,29.3279,90.6628,84.609,-0.04,0.0
2024-03-14 00:45:00,33.32,87.7366,24.9268,21.4802,53.5291,86.4167,28.8534,67.4857,91.8704,69.3768,19.1217,82.4653,74.6123,87.2191,-0.04,0.0
2024-03-14 01:00:00,28.59,38.3204,84.3331,95.2594,34.926,17.0492,40.9807,10.055,26.518,73.3615,61.047,74.7132,79.9829,84.5338,-0.04,0.0
2024-03-14 01:15:00,28.63,13.3354,11.8517,65.2485,68.4084,73.8428,82.3392,5.9657,55.0757,12.5103,12.3954,84.2776,90.1405,42.1992,-0.04,0.0
2024-03-14 01:45:00,28.27,44.6984,65.0691,52.7685,52.2982,62.2199,70.2799,9.4969,13.0713,76.4583,82.3022,41.0956,39.0503,49.1773,-0.04,0.0
2024-03-14 02:00:00,29.05,94.4379,6.7667,42.6035,38.444,15.9583,73.5151,44.0429,49.3627,64.2811,34.1773,56.0929,4.7939,22.6055,-0.04,0.0
2024-03-14 02:15:00,31.57,53.6838,60.9681,68.3477,40.4019,45.3268,97.8193,59.4122,88.4364,49.6482,77.9423,78.9423,0.1873,14.8644,-0.04,0.0
2024-03-14 02:30:00,28.83,94.9347,85.5049,76.7768,47.8373,76.9298,26.7455,54.8705,41.4245,6.7036,29.6173,85.9466,12.1518,3.3124,-0.04,0.0
2024-03-14 02:45:00,28.9,36.5623,5.0367,10.5545,14.3363,80.3582,74.5912,95.474,2.81,30.6687,80.5995,88.5778,9.7393,49.6519,-0.04,0.0
2024-03-14 03:00:00,29.89,39.8722,39.9417,52.6725,90.011,13.5525,97.5046,83.718,10.4803,18.7197,39.7427,13.8354,63.4406,77.1758,-0.04,0.0
2024-03-14 03:15:00,28.01,11.6873,43.2847,30.483,34.6757,44.9625,94.4317,62.4706,41.3635,55.7812,38.1332,70.7657,42.9848,72.6344,-0.04,0.0
2024-03-14 03:30:00,30.54,41.8104,84.46,81.7154,40.8587,85.6597,48.1547,27.4737,99.9919,58.0528,78.9642,79.4304,58.5249,41.6266,-0.04,0.0
2024-03-14 03:45:00,31.58,46.2377,95.3232,64.8264,87.9794,4.1673,70.1811,43.5911,37.6095,22.126,56.5228,41.9154,1.1302,35.9862,-0.04,0.0
2024-03-14 04:00:00,28.97,89.5945,28.253,15.5682,60.7647,88.7753,55.6494,52.5616,81.8638,15.676,14.7457,32.2071,54.3885,95.0649,-0.04,0.0
2024-03-14 04:15:00,30.86,19.3639,30.9618,53.1256,49.3643,4.2891,77.6715,86.3474,36.8745,27.0443,14.5002,13.8788,15.271,44.9459,-0.04,0.0
2024-03-14 04:30:00,29.04,75.0202,68.5761,41.7495,93.5283,10.7146,55.7697,63.63,6.6808,75.2608,69.0306,62.3988,99.7405,61.4152,-0.04,0.0
2024-03-14 04:45:00,30.29,19.1964,8.4243,18.9612,43.2003,42.1476,47.1852,44.0674,52.3714,64.8308,74.7496,80.7594,50.2743,12.8063,-0.04,0.0
2024-03-14 05:00:00,28.39,91.111,16.6593,72.3137,61.8534,69.1183,24.8728,95.1209,62.0084,52.1176,17.6689,41.3291,46.3361,96.0219,-0.04,0.0
2024-03-14 05:15:00,31.77,83.0148,76.1722,44.1513,6.5648,89.4196,93.6603,3.7969,50.2614,19.096,68.6832,60.8985,1.656,43.8114,-0.04,0.0
2024-03-14 05:30:00,34.1,61.8652,3.6385,75.2058,18.9475,24.7993,50.5257,14.7162,46.0464,57.7246,20.6453,96.1073,61.2253,20.1248,-0.04,0.0
2024-03-14 05:45:00,28.73,29.9496,46.7488,81.4864,63.7987,98.3786,0.544,69.1265,94.9698,5.6149,61.9832,7.5162,39.4075,67.3858,-0.04,0.0
