timestamp,sensor_id,value
2024-01-14T23:00:00,TURB_SPEED_01,3004.7711
2024-01-14T23:00:00,TURB_VIB_01,1.4763
2024-01-14T23:00:00,TURB_OUTPUT_01,904.5461
2024-01-14T23:00:00,TURB_BEAR_01,70.3817
2024-01-14T23:01:00,TURB_SPEED_01,3005.1064
2024-01-14T23:01:00,TURB_VIB_01,1.5155
2024-01-14T23:01:00,TURB_OUTPUT_01,893.4655
2024-01-14T23:02:00,TURB_SPEED_01,3004.8123
2024-01-14T23:02:00,TURB_VIB_01,1.4573
2024-01-14T23:02:00,TURB_OUTPUT_01,898.9069
2024-01-14T23:02:00,TURB_BEAR_01,69.3482
2024-01-14T23:03:00,TURB_SPEED_01,3005.2397
2024-01-14T23:03:00,TURB_VIB_01,1.4723
2024-01-14T23:03:00,TURB_OUTPUT_01,908.2725
2024-01-14T23:04:00,TURB_SPEED_01,3004.6708
2024-01-14T23:04:00,TURB_VIB_01,1.4304
2024-01-14T23:04:00,TURB_OUTPUT_01,897.6912
2024-01-14T23:04:00,TURB_BEAR_01,69.6606
2024-01-14T23:05:00,TURB_SPEED_01,3005.3934
2024-01-14T23:05:00,TURB_VIB_01,1.5615
2024-01-14T23:05:00,TURB_OUTPUT_01,905.9599
2024-01-14T23:06:00,TURB_SPEED_01,3004.6355
2024-01-14T23:06:00,TURB_VIB_01,1.4647
2024-01-14T23:06:00,TURB_OUTPUT_01,891.7142
2024-01-14T23:06:00,TURB_BEAR_01,69.5676
2024-01-14T23:07:00,TURB_SPEED_01,3005.0163
2024-01-14T23:07:00,TURB_VIB_01,1.5041
2024-01-14T23:07:00,TURB_OUTPUT_01,904.4332
2024-01-14T23:08:00,TURB_SPEED_01,3005.1734
2024-01-14T23:08:00,TURB_VIB_01,1.5454
2024-01-14T23:08:00,TURB_OUTPUT_01,900.5782
2024-01-14T23:08:00,TURB_BEAR_01,70.2506
2024-01-14T23:09:00,TURB_SPEED_01,3005.1521
2024-01-14T23:09:00,TURB_VIB_01,1.5953
2024-01-14T23:09:00,TURB_OUTPUT_01,900.8199
2024-01-14T23:10:00,TURB_SPEED_01,3004.8551
2024-01-14T23:10:00,TURB_VIB_01,1.5333
2024-01-14T23:10:00,TURB_OUTPUT_01,901.8859
2024-01-14T23:10:00,TURB_BEAR_01,69.9681
2024-01-14T23:11:00,TURB_SPEED_01,3004.9928
2024-01-14T23:11:00,TURB_VIB_01,1.4646
2024-01-14T23:11:00,TURB_OUTPUT_01,900.6421
2024-01-14T23:12:00,TURB_SPEED_01,3005.2867
2024-01-14T23:12:00,TURB_VIB_01,1.5144
2024-01-14T23:12:00,TURB_OUTPUT_01,900.0982
2024-01-14T23:12:00,TURB_BEAR_01,70.5839
2024-01-14T23:13:00,TURB_SPEED_01,3005.3201
2024-01-14T23:13:00,TURB_VIB_01,1.5608
2024-01-14T23:13:00,TURB_OUTPUT_01,901.6742
2024-01-14T23:14:00,TURB_SPEED_01,3005.2923
2024-01-14T23:14:00,TURB_VIB_01,1.5397
2024-01-14T23:14:00,TURB_OUTPUT_01,906.0213
2024-01-14T23:14:00,TURB_BEAR_01,70.9998
2024-01-14T23:15:00,TURB_SPEED_01,3004.7851
2024-01-14T23:15:00,TURB_VIB_01,1.4885
2024-01-14T23:15:00,TURB_OUTPUT_01,901.5354
2024-01-14T23:16:00,TURB_SPEED_01,3005.0353
2024-01-14T23:16:00,TURB_VIB_01,1.5006
2024-01-14T23:16:00,TURB_OUTPUT_01,897.3616
