weather_station_id,district,timestamp,temperature_c,humidity_pct,wind_speed_m_s,rain_accumulation_mm
WS001,FABRYCZNA,2026-01-01 00:00:00,-5.58,81.74,5.21,0.0
WS001,FABRYCZNA,2026-01-01 04:00:00,-4.7,84.47,7.79,0.0
WS001,FABRYCZNA,2026-01-01 08:00:00,2.54,71.94,4.79,0.0
WS001,FABRYCZNA,2026-01-01 12:00:00,3.94,65.97,2.34,0.0
WS001,FABRYCZNA,2026-01-01 16:00:00,1.34,64.07,1.13,0.0
WS001,FABRYCZNA,2026-01-01 20:00:00,-1.5,91.53,1.53,0.0
WS001,FABRYCZNA,2026-01-02 00:00:00,-5.51,83.94,3.65,0.0
WS001,FABRYCZNA,2026-01-02 04:00:00,0.56,71.73,0.41,0.0
WS001,FABRYCZNA,2026-01-02 08:00:00,-0.41,56.62,7.86,0.26
WS001,FABRYCZNA,2026-01-02 12:00:00,1.91,71.71,2.17,0.26
WS001,FABRYCZNA,2026-01-02 16:00:00,2.71,91.07,0.0,0.26
WS001,FABRYCZNA,2026-01-02 20:00:00,-3.9,92.74,0.99,0.26
WS001,FABRYCZNA,2026-01-03 00:00:00,-4.04,99.0,3.84,0.26
WS001,FABRYCZNA,2026-01-03 04:00:00,-3.61,68.15,9.15,0.26
WS001,FABRYCZNA,2026-01-03 08:00:00,1.46,76.15,6.74,0.26
WS001,FABRYCZNA,2026-01-03 12:00:00,4.0,68.43,0.0,0.26
WS001,FABRYCZNA,2026-01-03 16:00:00,1.54,73.09,2.78,0.26
WS001,FABRYCZNA,2026-01-03 20:00:00,-2.26,82.21,0.0,0.26
WS001,FABRYCZNA,2026-01-04 00:00:00,-4.76,89.35,4.14,3.77
WS001,FABRYCZNA,2026-01-04 04:00:00,-1.87,74.53,4.08,5.47
WS001,FABRYCZNA,2026-01-04 08:00:00,0.12,66.0,7.09,5.47
WS001,FABRYCZNA,2026-01-04 12:00:00,2.0,72.74,4.5,5.47
WS001,FABRYCZNA,2026-01-04 16:00:00,2.12,76.55,5.03,5.9
WS001,FABRYCZNA,2026-01-04 20:00:00,-2.9,76.45,2.73,5.9
WS002,FABRYCZNA,2026-01-01 00:00:00,-6.95,86.12,5.65,0.0
WS002,FABRYCZNA,2026-01-01 04:00:00,-4.65,86.99,5.57,0.96
WS002,FABRYCZNA,2026-01-01 08:00:00,-0.69,78.41,5.39,0.96
WS002,FABRYCZNA,2026-01-01 12:00:00,2.75,64.19,2.57,1.68
WS002,FABRYCZNA,2026-01-01 16:00:00,4.37,73.51,2.7,1.68
WS002,FABRYCZNA,2026-01-01 20:00:00,-3.51,86.69,0.0,1.68
WS002,FABRYCZNA,2026-01-02 00:00:00,-5.43,89.89,1.55,1.68
WS002,FABRYCZNA,2026-01-02 04:00:00,-5.0,79.33,4.16,1.68
WS002,FABRYCZNA,2026-01-02 08:00:00,2.15,56.29,8.23,1.68
WS002,FABRYCZNA,2026-01-02 12:00:00,4.72,65.36,2.0,1.68
WS002,FABRYCZNA,2026-01-02 16:00:00,0.89,58.39,3.95,1.68
WS002,FABRYCZNA,2026-01-02 20:00:00,-4.15,76.65,1.64,1.68
WS002,FABRYCZNA,2026-01-03 00:00:00,-3.28,92.11,1.74,1.68
WS002,FABRYCZNA,2026-01-03 04:00:00,-4.8,71.16,6.34,1.68
WS002,FABRYCZNA,2026-01-03 08:00:00,-0.55,62.5,4.55,1.68
WS002,FABRYCZNA,2026-01-03 12:00:00,2.76,66.5,3.11,1.68
